pub_date	title	venue	excerpt	citation	url_slug	paper_url
2020-09-22	Expected Unexpected	Under Review		Quinn, M. S., Campbell, K. & Keane, M. T. (Under Review). "Paper Title Number 1." <i>Journal 1</i>. 1(1).	fear_worst_or_hope_best	
2019-05-17	The Unexpected Unexpected and the Expected Unexpected: How People's Conception of the Unexpected is Not That Unexpected.	The 41st Annual Conference of the Cognitive Science Society (COGSCI’19)		Quinn, M. S., Campbell, K. & Keane, M. T. (2019). "The Unexpected Unexpected and the Expected Unexpected: How People's Conception of the Unexpected is Not That Unexpected." <i>The 41st Annual Conference of the Cognitive Science Society (COGSCI’19)</i>. 1(2).	Expected_Unexpected	https://arxiv.org/pdf/1905.08063.pdf
